id_venda,data,id_cliente,id_vendedor,produto,valor
119,2024-01-29,108,7,Cadeira,782
120,2024-02-09,140,12,Cadeira,849
121,2024-06-06,190,10,Teclado,355
122,2024-05-07,146,12,Notebook,3546
123,2024-03-24,94,11,Notebook,3687
124,2024-04-25,63,4,Teclado,322
125,2024-05-23,84,19,Teclado,194
126,2024-06-22,25,6,Teclado,237
127,2024-03-02,12,9,Monitor,1592
128,2024-01-07,149,20,Mesa,944
129,2024-02-14,25,10,Notebook,3466
130,2024-06-24,11,5,Monitor,1589
131,2024-06-03,64,13,Teclado,171
132,2024-03-28,126,9,Notebook,3600
133,2024-03-13,50,2,Monitor,1539
134,2024-06-11,190,18,Mesa,927
135,2024-06-27,89,1,Monitor,1589
136,2024-02-06,99,12,Mesa,963
137,2024-04-28,116,10,Teclado,217
138,2024-02-26,96,2,Mesa,959
139,2024-01-08,177,9,Notebook,3628
140,2024-04-04,14,2,Teclado,274
141,2024-04-26,1,14,Notebook,3590
142,2024-04-19,25,11,Cadeira,806
143,2024-01-20,187,11,Mouse,124
144,2024-05-03,72,17,Mesa,931
145,2024-02-22,69,4,Mouse,176
146,2024-04-28,133,13,Mouse,225
147,2024-01-12,105,7,Mesa,951
148,2024-06-25,147,16,Teclado,382
149,2024-01-17,23,1,Cadeira,921
150,2024-03-04,9,13,Notebook,3596
151,2024-02-11,118,1,Monitor,1623
152,2024-04-03,94,11,Notebook,3560
153,2024-06-05,178,6,Monitor,1556
154,2024-05-26,144,20,Notebook,3551
155,2024-01-11,33,3,Mesa,1087
156,2024-04-07,130,12,Cadeira,752
157,2024-06-26,14,5,Monitor,1660
158,2024-03-11,1,9,Teclado,297
159,2024-04-17,90,12,Notebook,3474
160,2024-02-27,186,10,Notebook,3524
161,2024-02-03,89,19,Monitor,1633
162,2024-01-20,144,5,Teclado,358
163,2024-02-19,90,5,Teclado,210
164,2024-04-11,175,9,Mesa,972
165,2024-05-17,172,20,Mesa,1090
166,2024-06-08,14,17,Mesa,904
167,2024-02-21,152,10,Mesa,1012
168,2024-01-15,111,1,Mesa,1055
169,2024-03-24,183,16,Mesa,1036
170,2024-05-10,143,15,Cadeira,788
171,2024-02-06,83,17,Teclado,334
172,2024-05-05,72,20,Mesa,932
173,2024-02-09,162,13,Teclado,344
174,2024-03-12,130,1,Teclado,183
175,2024-02-09,27,8,Mouse,319
176,2024-02-25,74,5,Cadeira,862
177,2024-05-30,99,6,Mesa,1018
178,2024-04-13,72,20,Notebook,3599
179,2024-05-18,23,14,Monitor,1679
180,2024-04-19,68,11,Notebook,3697
181,2024-05-15,142,6,Cadeira,776
182,2024-04-02,191,11,Monitor,1598
183,2024-04-03,117,13,Cadeira,918
184,2024-02-25,106,12,Teclado,180
185,2024-02-29,93,2,Monitor,1604
186,2024-05-17,65,3,Teclado,314
187,2024-02-08,68,4,Notebook,3643
188,2024-01-28,128,17,Notebook,3631
189,2024-02-18,63,6,Monitor,1688
190,2024-06-12,113,7,Monitor,1586
191,2024-05-04,90,15,Mesa,932
192,2024-01-13,81,11,Cadeira,919
193,2024-02-05,103,3,Mesa,1013
194,2024-04-10,192,6,Cadeira,759
195,2024-01-26,160,2,Mesa,1036
196,2024-03-26,116,14,Teclado,189
197,2024-01-04,13,9,Monitor,1503
198,2024-03-22,194,18,Notebook,3686
199,2024-06-14,124,19,Cadeira,916
200,2024-05-06,147,12,Cadeira,884
201,2024-03-28,152,13,Notebook,3453
202,2024-05-06,88,12,Mesa,992
203,2024-04-29,11,12,Cadeira,953
204,2024-01-22,187,18,Teclado,325
205,2024-05-09,15,9,Monitor,1455
206,2024-01-31,10,17,Notebook,3522
207,2024-04-28,41,16,Monitor,1612
208,2024-01-11,155,17,Cadeira,949
209,2024-02-15,188,8,Cadeira,948
210,2024-04-05,73,11,Notebook,3645
211,2024-01-10,52,2,Teclado,207
212,2024-06-16,128,8,Mouse,146
213,2024-05-07,28,12,Notebook,3468
214,2024-05-31,65,1,Mouse,131
215,2024-04-08,17,13,Mesa,920
216,2024-06-20,95,17,Mouse,207
217,2024-04-21,172,14,Teclado,174
218,2024-02-29,138,14,Mesa,1021
219,2024-03-27,63,16,Mouse,319
220,2024-05-24,175,17,Mesa,1076
221,2024-03-05,38,6,Mouse,196
222,2024-02-26,70,7,Teclado,207
223,2024-04-15,104,1,Mouse,222
224,2024-01-09,53,15,Mouse,290
225,2024-01-22,172,20,Mouse,189
226,2024-05-20,119,18,Notebook,3653
227,2024-03-29,74,13,Notebook,3692
228,2024-06-24,54,2,Notebook,3560
229,2024-01-18,20,19,Teclado,317
230,2024-04-24,79,15,Mesa,925
231,2024-06-16,31,12,Cadeira,993
232,2024-05-24,135,15,Mouse,139
233,2024-05-22,58,18,Mouse,207
234,2024-04-15,105,14,Teclado,215
235,2024-01-15,10,6,Mouse,189
236,2024-03-03,10,12,Notebook,3686
237,2024-06-15,39,20,Cadeira,902
238,2024-01-13,156,6,Monitor,1648
239,2024-03-21,158,9,Mouse,301
240,2024-02-01,37,4,Notebook,3536
241,2024-05-16,119,17,Monitor,1689
242,2024-02-09,67,2,Cadeira,888
243,2024-05-27,43,16,Monitor,1571
244,2024-03-22,52,14,Notebook,3613
245,2024-03-17,101,8,Mesa,898
246,2024-03-16,56,14,Mesa,897
247,2024-06-20,76,2,Monitor,1564
248,2024-02-07,68,16,Teclado,236
249,2024-03-11,137,4,Monitor,1684
250,2024-02-17,106,1,Mouse,76
251,2024-01-18,125,20,Mouse,288
252,2024-05-23,92,14,Mesa,926
253,2024-02-08,23,8,Teclado,328
254,2024-03-29,191,3,Notebook,3594
255,2024-03-02,109,5,Mouse,229
256,2024-05-20,61,6,Mesa,1003
257,2024-04-18,168,8,Cadeira,870
258,2024-03-21,44,6,Mesa,973
259,2024-05-13,152,6,Mouse,219
260,2024-03-17,179,4,Mouse,210
261,2024-03-30,186,7,Mesa,974
262,2024-01-14,161,19,Notebook,3461
263,2024-04-04,16,7,Monitor,1520
264,2024-02-23,22,3,Mouse,70
265,2024-05-11,57,8,Mesa,1010
266,2024-02-08,62,1,Mesa,1093
267,2024-03-12,107,1,Teclado,268
268,2024-01-25,71,14,Monitor,1591
269,2024-03-17,90,6,Cadeira,860
270,2024-06-08,72,10,Notebook,3513
271,2024-06-14,70,14,Cadeira,792
272,2024-04-29,30,4,Monitor,1697
273,2024-02-22,103,6,Monitor,1635
274,2024-06-04,151,16,Monitor,1490
275,2024-05-10,32,1,Cadeira,958
276,2024-05-29,86,6,Monitor,1645
277,2024-04-05,57,9,Mesa,1093
278,2024-06-14,109,15,Cadeira,864
279,2024-03-12,9,12,Monitor,1488
280,2024-03-02,31,3,Mesa,850
281,2024-01-06,71,11,Teclado,190
282,2024-02-01,137,15,Monitor,1622
283,2024-04-08,13,3,Cadeira,837
284,2024-05-17,186,14,Mouse,295
285,2024-05-10,131,2,Monitor,1547
286,2024-03-16,35,4,Mouse,157
287,2024-06-25,21,19,Mesa,928
288,2024-02-28,64,12,Teclado,358
289,2024-01-31,95,2,Notebook,3590
290,2024-04-02,180,17,Teclado,220
291,2024-03-09,34,3,Monitor,1586
292,2024-02-21,121,10,Mouse,305
293,2024-03-29,163,16,Mouse,260
294,2024-05-06,15,9,Cadeira,848
295,2024-06-17,120,11,Mouse,220
296,2024-01-31,96,15,Cadeira,931
297,2024-03-24,6,3,Mesa,1024
298,2024-05-06,109,16,Notebook,3616
299,2024-05-29,97,12,Monitor,1536
300,2024-05-11,32,5,Cadeira,903
301,2024-01-13,180,7,Notebook,3450
302,2024-02-14,83,9,Mouse,211
303,2024-05-06,156,18,Mouse,293
304,2024-06-18,118,8,Notebook,3692
305,2024-04-23,192,12,Mouse,181
306,2024-06-25,79,20,Mesa,923
307,2024-01-20,78,2,Mesa,914
308,2024-03-21,147,10,Notebook,3518
309,2024-06-12,107,19,Cadeira,816
310,2024-05-08,126,9,Cadeira,926
311,2024-05-22,15,8,Notebook,3499
312,2024-01-17,134,1,Cadeira,807
313,2024-05-31,73,6,Cadeira,802
314,2024-02-27,101,12,Mesa,940
315,2024-03-12,98,19,Cadeira,864
316,2024-04-18,166,17,Teclado,267
317,2024-01-23,26,2,Monitor,1506
318,2024-06-22,92,11,Mouse,155
319,2024-03-12,125,18,Teclado,167
320,2024-01-08,179,11,Cadeira,765
321,2024-02-28,73,18,Mesa,979
322,2024-04-20,123,8,Notebook,3688
323,2024-01-13,53,15,Cadeira,762
324,2024-06-15,184,9,Mesa,1022
325,2024-06-04,187,15,Monitor,1529
326,2024-01-16,198,7,Cadeira,949
327,2024-04-28,78,20,Notebook,3492
328,2024-01-02,92,13,Mesa,1049
329,2024-05-24,186,13,Mesa,903
330,2024-01-30,88,1,Mesa,1051
331,2024-04-12,13,20,Monitor,1696
332,2024-01-13,43,4,Cadeira,974
333,2024-04-05,76,4,Monitor,1608
334,2024-04-03,51,4,Mouse,273
335,2024-03-22,19,13,Mouse,206
336,2024-01-13,149,2,Cadeira,978
337,2024-06-19,122,15,Monitor,1522
338,2024-04-03,24,4,Notebook,3497
339,2024-05-28,26,6,Mesa,867
340,2024-04-21,173,3,Mesa,1071
341,2024-02-24,156,7,Cadeira,973
342,2024-03-21,120,6,Mouse,301
343,2024-06-16,82,3,Mouse,284
344,2024-04-25,100,4,Mesa,860
345,2024-05-22,157,10,Cadeira,939
346,2024-06-28,17,9,Monitor,1533
347,2024-04-17,68,6,Mouse,88
348,2024-02-22,44,20,Monitor,1549
349,2024-05-07,61,11,Mouse,185
350,2024-06-28,123,7,Mouse,159
351,2024-06-06,93,18,Teclado,223
352,2024-06-09,196,4,Mouse,93
353,2024-02-26,74,5,Notebook,3462
354,2024-02-21,153,4,Cadeira,874
355,2024-05-16,67,4,Cadeira,865
356,2024-04-20,111,13,Monitor,1623
357,2024-01-01,2,16,Mouse,250
358,2024-02-13,89,14,Notebook,3675
359,2024-03-15,177,11,Monitor,1606
360,2024-04-07,198,2,Teclado,313
361,2024-01-09,26,14,Monitor,1520
362,2024-02-01,200,7,Monitor,1692
363,2024-01-15,99,11,Mouse,291
364,2024-05-19,27,4,Teclado,275
365,2024-05-15,89,7,Monitor,1594
366,2024-03-12,146,16,Notebook,3625
367,2024-06-03,182,6,Notebook,3654
368,2024-01-12,1,6,Cadeira,997
369,2024-03-05,189,2,Teclado,301
370,2024-04-16,103,8,Teclado,331
371,2024-02-11,131,7,Cadeira,868
372,2024-04-24,196,14,Monitor,1672
373,2024-05-18,41,9,Teclado,399
374,2024-04-12,165,15,Notebook,3540
375,2024-06-19,51,18,Notebook,3691
376,2024-04-04,15,12,Mouse,154
377,2024-01-17,8,19,Teclado,257
378,2024-06-08,38,13,Monitor,1696
379,2024-03-25,114,7,Cadeira,876
380,2024-06-16,83,10,Cadeira,870
381,2024-05-30,56,10,Monitor,1578
382,2024-02-25,175,2,Mesa,1056
383,2024-05-13,103,14,Mouse,264
384,2024-03-26,138,13,Cadeira,755
385,2024-06-26,102,6,Teclado,227
386,2024-04-11,78,9,Mouse,252
387,2024-06-13,177,13,Teclado,187
388,2024-02-23,169,9,Notebook,3610
389,2024-06-25,83,13,Mouse,185
390,2024-04-24,30,5,Cadeira,851
391,2024-05-18,5,14,Mouse,77
392,2024-03-28,119,5,Mouse,287
393,2024-02-18,199,9,Mouse,276
394,2024-05-28,31,8,Mesa,927
395,2024-04-24,180,7,Mouse,181
396,2024-03-03,23,8,Teclado,297
397,2024-04-13,48,3,Notebook,3504
398,2024-03-23,109,15,Monitor,1497
399,2024-04-12,40,8,Mouse,280
400,2024-06-04,6,1,Cadeira,933
401,2024-01-17,38,7,Mouse,294
402,2024-01-06,169,19,Cadeira,977
403,2024-05-26,100,2,Teclado,237
404,2024-01-28,27,14,Cadeira,759
405,2024-02-07,69,18,Monitor,1501
406,2024-04-28,57,15,Notebook,3627
407,2024-02-06,17,14,Cadeira,783
408,2024-04-24,71,19,Cadeira,913
409,2024-03-08,47,19,Notebook,3688
410,2024-06-25,79,17,Monitor,1510
411,2024-02-12,110,19,Mouse,297
412,2024-06-12,13,16,Cadeira,893
413,2024-02-27,139,20,Notebook,3528
414,2024-01-13,124,19,Teclado,167
415,2024-02-21,109,1,Notebook,3520
416,2024-02-27,90,19,Teclado,324
417,2024-02-01,86,7,Monitor,1535
418,2024-04-14,92,11,Mouse,101
419,2024-03-23,24,5,Notebook,3492
420,2024-04-08,73,17,Mesa,932
421,2024-04-13,4,11,Cadeira,917
422,2024-01-28,113,8,Monitor,1697
423,2024-05-08,46,10,Notebook,3642
424,2024-06-18,18,12,Cadeira,912
425,2024-02-17,43,10,Notebook,3518
426,2024-02-09,161,13,Teclado,199
427,2024-04-06,93,18,Notebook,3461
428,2024-04-23,103,10,Mesa,1053
429,2024-05-11,124,19,Notebook,3534
430,2024-06-14,10,20,Notebook,3572
431,2024-06-03,73,17,Mesa,907
432,2024-05-16,187,20,Monitor,1532
433,2024-04-20,31,16,Notebook,3640
434,2024-05-23,156,5,Mesa,1050
435,2024-03-16,60,3,Cadeira,984
436,2024-01-31,131,15,Teclado,326
437,2024-04-28,118,2,Teclado,261
438,2024-05-21,183,13,Notebook,3577
439,2024-01-25,14,8,Monitor,1485
440,2024-02-03,186,17,Monitor,1683
441,2024-03-07,143,4,Cadeira,803
442,2024-05-31,2,19,Notebook,3496
443,2024-04-27,24,9,Teclado,398
444,2024-03-13,64,15,Monitor,1564
445,2024-01-26,199,9,Notebook,3609
446,2024-05-27,100,9,Monitor,1676
447,2024-04-13,114,14,Mesa,1072
448,2024-01-10,24,16,Monitor,1573
449,2024-03-07,155,17,Teclado,330
450,2024-05-31,165,13,Mouse,316
451,2024-01-05,91,9,Cadeira,909
452,2024-01-27,167,15,Cadeira,939
453,2024-04-22,191,7,Teclado,314
454,2024-01-15,26,1,Monitor,1545
455,2024-06-11,65,1,Notebook,3556
456,2024-04-14,120,5,Monitor,1569
457,2024-02-13,4,9,Teclado,250
458,2024-01-26,157,12,Cadeira,852
459,2024-06-23,1,6,Monitor,1615
460,2024-06-10,50,13,Cadeira,907
461,2024-04-04,110,8,Notebook,3635
462,2024-06-26,139,15,Cadeira,781
463,2024-03-24,74,6,Cadeira,986
464,2024-05-19,187,6,Mouse,135
465,2024-05-11,62,4,Mouse,248
466,2024-03-27,81,11,Mesa,860
467,2024-06-24,164,18,Mouse,256
468,2024-04-21,56,3,Cadeira,897
469,2024-05-08,111,3,Teclado,186
470,2024-03-29,21,12,Cadeira,950
471,2024-03-06,141,6,Teclado,251
472,2024-06-06,9,6,Teclado,198
473,2024-05-10,139,8,Mouse,88
474,2024-05-01,70,15,Monitor,1632
475,2024-05-28,129,18,Notebook,3617
476,2024-03-24,118,20,Mouse,76
477,2024-06-25,198,16,Mouse,202
478,2024-04-25,56,6,Monitor,1688
479,2024-04-25,31,17,Notebook,3491
480,2024-02-07,37,9,Cadeira,837
481,2024-05-22,175,19,Mesa,1025
482,2024-04-19,91,18,Mesa,1082
483,2024-06-28,114,5,Cadeira,884
484,2024-02-15,128,6,Mouse,80
485,2024-01-25,175,12,Notebook,3650
486,2024-01-21,122,11,Mouse,246
487,2024-04-30,69,16,Teclado,307
488,2024-05-01,186,20,Mouse,110
489,2024-05-12,36,17,Mouse,72
490,2024-03-10,32,20,Cadeira,963
491,2024-04-22,64,9,Cadeira,789
492,2024-04-16,199,1,Cadeira,800
493,2024-04-21,170,3,Mesa,1061
494,2024-04-17,48,9,Teclado,181
495,2024-02-16,81,19,Cadeira,797
496,2024-03-31,158,13,Notebook,3520
497,2024-01-18,149,14,Mesa,1048
498,2024-05-28,60,20,Monitor,1597
499,2024-04-13,141,19,Notebook,3538
500,2024-05-30,1,7,Notebook,3558
501,2024-02-09,65,4,Cadeira,784
502,2024-05-17,33,12,Monitor,1557
503,2024-03-29,38,14,Monitor,1601
504,2024-06-28,25,2,Mesa,889
505,2024-03-01,154,1,Monitor,1654
506,2024-01-05,59,18,Teclado,201
507,2024-05-01,161,20,Cadeira,861
508,2024-02-24,101,8,Monitor,1488
509,2024-02-06,127,3,Mesa,917
510,2024-02-25,41,6,Teclado,338
511,2024-04-11,158,13,Mouse,145
512,2024-04-02,57,9,Mouse,278
513,2024-03-13,177,9,Teclado,214
514,2024-02-28,48,20,Mesa,911
515,2024-01-02,72,9,Teclado,358
516,2024-04-13,177,15,Cadeira,751
517,2024-02-20,175,13,Cadeira,883
518,2024-01-30,56,16,Mouse,305
519,2024-01-11,65,2,Monitor,1571
520,2024-04-17,12,14,Mesa,924
521,2024-03-16,69,6,Mouse,314
522,2024-06-15,134,2,Monitor,1620
523,2024-03-30,89,8,Monitor,1659
524,2024-05-02,193,4,Cadeira,789
525,2024-05-04,25,14,Notebook,3538
526,2024-05-01,1,11,Notebook,3616
527,2024-04-03,160,14,Teclado,177
528,2024-04-12,131,12,Cadeira,987
529,2024-06-10,49,16,Monitor,1529
530,2024-01-31,147,6,Mesa,912
531,2024-02-21,60,20,Notebook,3641
532,2024-03-29,157,1,Monitor,1589
533,2024-03-16,178,12,Notebook,3490
534,2024-05-08,2,7,Notebook,3693
535,2024-01-22,73,8,Notebook,3478
536,2024-02-09,184,9,Mesa,872
537,2024-04-10,145,2,Cadeira,962
538,2024-04-20,188,17,Mesa,929
539,2024-05-08,110,20,Mouse,314
540,2024-03-05,164,13,Monitor,1500
541,2024-06-18,61,5,Cadeira,861
542,2024-05-28,17,10,Cadeira,854
543,2024-03-19,49,12,Cadeira,794
544,2024-01-22,76,17,Cadeira,839
545,2024-06-14,188,6,Mesa,1078
546,2024-04-08,148,3,Cadeira,899
547,2024-01-08,178,15,Teclado,392
548,2024-06-23,131,7,Monitor,1587
549,2024-01-17,43,6,Cadeira,884
550,2024-01-17,57,4,Monitor,1650
551,2024-03-30,50,19,Teclado,238
552,2024-05-20,196,5,Teclado,387
553,2024-05-24,178,3,Monitor,1464
554,2024-06-14,37,9,Notebook,3526
555,2024-03-21,46,6,Mouse,175
556,2024-03-18,170,13,Notebook,3623
557,2024-06-21,15,20,Notebook,3539
558,2024-01-06,161,4,Mesa,1062
559,2024-06-11,80,2,Notebook,3536
560,2024-04-19,139,4,Cadeira,810
561,2024-01-14,148,8,Mesa,957
562,2024-03-12,24,13,Mesa,1069
563,2024-05-22,125,10,Teclado,210
564,2024-02-23,192,18,Notebook,3500
565,2024-01-27,118,9,Teclado,315
566,2024-01-13,80,1,Monitor,1461
567,2024-06-07,94,13,Mouse,285
568,2024-06-11,65,18,Mesa,926
569,2024-02-29,88,15,Monitor,1681
570,2024-01-06,88,2,Monitor,1561
571,2024-02-27,145,11,Cadeira,815
572,2024-02-18,126,14,Mouse,251
573,2024-05-30,89,15,Monitor,1616
574,2024-06-10,61,14,Monitor,1653
575,2024-01-26,15,16,Mouse,236
576,2024-02-16,94,15,Mouse,184
577,2024-01-05,51,19,Monitor,1655
578,2024-01-20,27,9,Mouse,99
579,2024-05-13,74,5,Monitor,1554
580,2024-02-28,61,5,Monitor,1691
581,2024-05-25,186,11,Cadeira,984
582,2024-05-11,31,20,Notebook,3625
583,2024-01-17,12,4,Monitor,1660
584,2024-01-14,46,20,Teclado,180
585,2024-01-13,159,18,Mesa,1084
586,2024-05-14,32,3,Notebook,3691
587,2024-05-07,160,4,Notebook,3684
588,2024-02-13,181,14,Notebook,3602
589,2024-04-28,61,7,Cadeira,945
590,2024-05-22,46,8,Monitor,1691
591,2024-01-19,85,16,Cadeira,928
592,2024-03-03,80,20,Monitor,1462
593,2024-06-11,135,15,Cadeira,977
594,2024-03-21,4,7,Cadeira,940
595,2024-06-11,52,17,Mesa,977
596,2024-05-26,159,12,Teclado,319
597,2024-05-27,112,18,Cadeira,931
598,2024-04-09,36,14,Mesa,950
599,2024-06-11,182,15,Mouse,136
600,2024-06-08,54,15,Teclado,229
601,2024-05-01,119,5,Cadeira,967
602,2024-06-24,127,16,Notebook,3681
603,2024-02-13,17,5,Mouse,253
604,2024-04-13,75,2,Mouse,172
605,2024-05-31,158,20,Mesa,868
606,2024-03-01,105,9,Mouse,243
607,2024-05-04,150,9,Teclado,292
608,2024-05-24,117,4,Cadeira,781
609,2024-03-11,43,15,Cadeira,926
610,2024-04-16,112,11,Notebook,3598
611,2024-02-19,115,1,Mesa,914
612,2024-03-05,27,18,Notebook,3647
613,2024-04-08,37,1,Mouse,96
614,2024-02-01,46,8,Notebook,3600
615,2024-06-12,113,16,Teclado,196
616,2024-05-20,35,18,Cadeira,972
617,2024-02-27,132,9,Mouse,81
618,2024-05-07,80,12,Notebook,3534
619,2024-05-21,80,19,Mesa,1093
620,2024-06-13,154,18,Teclado,215
621,2024-04-21,121,5,Teclado,282
622,2024-03-08,147,2,Notebook,3586
623,2024-02-09,122,7,Cadeira,897
624,2024-05-23,81,10,Notebook,3559
625,2024-05-11,173,15,Mouse,151
626,2024-06-21,154,7,Notebook,3574
627,2024-03-30,150,5,Teclado,212
628,2024-01-28,119,15,Notebook,3663
629,2024-04-05,58,20,Cadeira,821
630,2024-01-31,63,20,Mesa,947
631,2024-01-03,156,15,Monitor,1522
632,2024-05-15,193,10,Notebook,3520
633,2024-01-24,172,14,Cadeira,779
634,2024-01-15,100,10,Cadeira,874
635,2024-06-19,171,17,Mesa,1059
636,2024-06-07,165,14,Teclado,368
637,2024-02-14,66,2,Cadeira,765
638,2024-01-08,145,16,Cadeira,962
639,2024-03-11,168,13,Cadeira,882
640,2024-04-17,166,9,Cadeira,996
641,2024-04-24,85,7,Mouse,226
642,2024-04-12,189,16,Mouse,116
643,2024-05-04,137,10,Teclado,250
644,2024-02-26,189,9,Notebook,3556
645,2024-01-30,144,7,Cadeira,875
646,2024-05-25,123,16,Mesa,871
647,2024-04-23,2,9,Notebook,3655
648,2024-04-26,106,17,Mesa,1034
649,2024-06-15,108,20,Notebook,3532
650,2024-02-29,72,7,Teclado,312
651,2024-04-07,171,11,Cadeira,965
652,2024-06-19,126,8,Cadeira,983
653,2024-05-05,170,7,Monitor,1509
654,2024-06-21,57,19,Mesa,1047
655,2024-05-30,81,20,Notebook,3637
656,2024-04-03,195,12,Notebook,3507
657,2024-05-13,158,7,Mouse,72
658,2024-05-01,141,8,Monitor,1611
659,2024-04-17,19,7,Mouse,114
660,2024-01-04,7,6,Mouse,119
661,2024-04-02,137,9,Mouse,71
662,2024-05-30,54,13,Mesa,864
663,2024-01-06,104,7,Mesa,1014
664,2024-02-01,86,8,Teclado,292
665,2024-04-15,82,17,Teclado,337
666,2024-05-25,61,17,Mouse,165
667,2024-01-15,87,16,Monitor,1534
668,2024-06-16,2,2,Notebook,3641
669,2024-05-01,178,8,Mesa,1058
670,2024-04-05,31,17,Monitor,1675
671,2024-01-06,33,13,Cadeira,973
672,2024-04-21,80,18,Mesa,1091
673,2024-04-29,11,10,Mesa,960
674,2024-05-02,161,2,Teclado,329
675,2024-03-07,128,2,Notebook,3472
676,2024-04-15,135,14,Notebook,3548
